layer,severity,cka,drop_from_clean
0,1,0.864253,0.135747
1,1,0.886211,0.113789
2,1,0.957957,0.042043
3,1,0.947239,0.052761
4,1,0.876865,0.123135
5,1,0.919613,0.080387
6,1,0.932204,0.067796
7,1,0.918723,0.081277
8,1,0.897302,0.102698
9,1,0.930032,0.069968
10,1,0.958465,0.041535
11,1,0.958252,0.041748
0,2,0.668921,0.331079
1,2,0.764962,0.235038
2,2,0.896481,0.103519
3,2,0.869793,0.130207
4,2,0.782773,0.217227
5,2,0.823769,0.176231
6,2,0.831541,0.168459
7,2,0.799812,0.200188
8,2,0.751937,0.248063
9,2,0.829409,0.170591
10,2,0.875241,0.124759
11,2,0.868039,0.131961
0,3,0.543961,0.456039
1,3,0.664626,0.335374
2,3,0.840840,0.159160
3,3,0.814025,0.185975
4,3,0.706418,0.293582
5,3,0.728114,0.271886
6,3,0.706819,0.293181
7,3,0.636231,0.363769
8,3,0.554115,0.445885
9,3,0.642704,0.357296
10,3,0.634537,0.365463
11,3,0.639250,0.360750
0,4,0.492630,0.507370
1,4,0.501696,0.498304
2,4,0.738474,0.261526
3,4,0.722256,0.277744
4,4,0.615589,0.384411
5,4,0.611463,0.388537
6,4,0.569107,0.430893
7,4,0.455427,0.544573
8,4,0.379644,0.620356
9,4,0.401996,0.598004
10,4,0.332997,0.667003
11,4,0.353745,0.646255
0,5,0.421137,0.578863
1,5,0.389907,0.610093
2,5,0.556468,0.443532
3,5,0.534461,0.465539
4,5,0.471344,0.528656
5,5,0.474138,0.525862
6,5,0.422921,0.577079
7,5,0.320931,0.679069
8,5,0.237215,0.762785
9,5,0.232842,0.767158
10,5,0.185378,0.814622
11,5,0.217169,0.782831
